"floor","radon","county"
"basement",6.5,"WASHINGTON"
"basement",12.2,"WASHINGTON"
"basement",4.6,"WASHINGTON"
"basement",6.2,"WASHINGTON"
"basement",6.5,"WASHINGTON"
"basement",2.8,"WASHINGTON"
"basement",1.9,"WASHINGTON"
"first",1.2,"WASHINGTON"
"basement",2.4,"WASHINGTON"
"basement",1,"WASHINGTON"
"first",1.2,"WASHINGTON"
"basement",1.6,"WASHINGTON"
"basement",0.8,"WASHINGTON"
"basement",1.7,"WASHINGTON"
"basement",4.7,"WASHINGTON"
"first",1.7,"WASHINGTON"
"basement",3.3,"WASHINGTON"
"first",0.8,"WASHINGTON"
"basement",9.8,"WASHINGTON"
"basement",5.3,"WASHINGTON"
"basement",8.5,"WASHINGTON"
"basement",1.9,"WASHINGTON"
"basement",6.6,"WASHINGTON"
"basement",3.8,"WASHINGTON"
"basement",5.9,"WASHINGTON"
"basement",4.9,"WASHINGTON"
"first",2.5,"WASHINGTON"
"basement",10.7,"WASHINGTON"
"basement",2.4,"WASHINGTON"
"basement",2.1,"WASHINGTON"
"basement",4.7,"WASHINGTON"
"basement",3.7,"WASHINGTON"
"basement",13.4,"WASHINGTON"
"basement",2.9,"WASHINGTON"
"basement",4.3,"WASHINGTON"
"basement",3.8,"WASHINGTON"
"basement",1.8,"WASHINGTON"
"basement",1.5,"WASHINGTON"
"basement",1.8,"WASHINGTON"
"basement",1.3,"WASHINGTON"
"basement",6.6,"WASHINGTON"
"basement",20.4,"WASHINGTON"
"basement",6,"WASHINGTON"
"basement",13.8,"WATONWAN"
"first",10.2,"WATONWAN"
"first",5.7,"WATONWAN"
"basement",9.3,"WILKIN"
"basement",3.4,"WINONA"
"basement",4.1,"WINONA"
"basement",11.6,"WINONA"
"basement",7.2,"WINONA"
"basement",4.7,"WINONA"
"first",1.8,"WINONA"
"first",0.7,"WINONA"
"basement",4.7,"WINONA"
"basement",10.2,"WINONA"
"basement",11.3,"WINONA"
"basement",7.6,"WINONA"
"basement",11.8,"WINONA"
"first",0.5,"WINONA"
"basement",6.7,"WRIGHT"
"basement",5.3,"WRIGHT"
"basement",3.1,"WRIGHT"
"basement",2.1,"WRIGHT"
"basement",7.3,"WRIGHT"
"basement",5.1,"WRIGHT"
"basement",2.2,"WRIGHT"
"first",2.3,"WRIGHT"
"basement",15.9,"WRIGHT"
"basement",9.5,"WRIGHT"
"basement",6.4,"WRIGHT"
"basement",4.5,"WRIGHT"
"basement",5,"WRIGHT"
"basement",3.7,"YELLOW MEDICINE"
"basement",2.9,"YELLOW MEDICINE"
